ID_hecho,FECHA,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO
2019-0001,1/8/2019,CONDUCTOR,MASCULINO,25.0,1/8/2019
2019-0002,1/9/2019,CONDUCTOR,MASCULINO,32.0,1/9/2019
2019-0003,1/12/2019,CONDUCTOR,MASCULINO,23.0,1/12/2019
2019-0004,1/14/2019,CONDUCTOR,MASCULINO,71.0,1/14/2019
2019-0005,1/19/2019,CONDUCTOR,MASCULINO,43.0,1/19/2019
2019-0006,1/23/2019,PEATON,FEMENINO,12.0,1/23/2019
2019-0007,1/26/2019,CONDUCTOR,MASCULINO,35.0,1/26/2019
2019-0008,1/30/2019,CONDUCTOR,MASCULINO,42.0,1/31/2019
2019-0009,1/31/2019,CONDUCTOR,MASCULINO,34.0,1/31/2019
2019-0010,2/2/2019,PEATON,MASCULINO,,2/2/2019
2019-0010,2/2/2019,PEATON,MASCULINO,59.0,2/2/2019
2019-0011,2/10/2019,PEATON,MASCULINO,,2/10/2019
2019-0012,2/17/2019,CONDUCTOR,MASCULINO,31.0,2/20/2019
2019-0013,2/20/2019,PEATON,MASCULINO,39.0,3/2/2019
2019-0014,2/20/2019,CONDUCTOR,MASCULINO,69.0,2/20/2019
2019-0015,2/23/2019,CONDUCTOR,MASCULINO,21.0,2/23/2019
2019-0016,2/24/2019,CONDUCTOR,MASCULINO,40.0,2/24/2019
2019-0017,3/3/2019,CONDUCTOR,MASCULINO,22.0,3/7/2019
2019-0018,3/3/2019,PEATON,FEMENINO,29.0,3/3/2019
2019-0019,3/6/2019,CONDUCTOR,MASCULINO,,26/03/2019
2019-0020,3/7/2019,CONDUCTOR,MASCULINO,43.0,3/7/2019
2019-0021,3/15/2019,CONDUCTOR,MASCULINO,23.0,3/16/2019
2019-0022,3/15/2019,PASAJERO,MASCULINO,,3/15/2019
2019-0023,3/16/2019,CONDUCTOR,MASCULINO,34.0,3/16/2019
2019-0024,3/19/2019,CONDUCTOR,MASCULINO,32.0,3/19/2019
2019-0025,3/22/2019,PEATON,MASCULINO,27.0,4/4/2019
2019-0026,3/28/2019,PEATON,MASCULINO,,3/28/2019
2019-0027,3/28/2019,CICLISTA,MASCULINO,37.0,3/28/2019
2019-0028,4/6/2019,PEATON,FEMENINO,,4/6/2019
2019-0029,4/7/2019,CONDUCTOR,MASCULINO,27.0,4/7/2019
2019-0030,4/9/2019,CONDUCTOR,MASCULINO,25.0,4/9/2019
2019-0031,4/12/2019,CICLISTA,MASCULINO,20.0,4/12/2019
2019-0032,4/16/2019,PEATON,FEMENINO,83.0,4/18/2019
2019-0033,4/18/2019,CONDUCTOR,MASCULINO,25.0,4/18/2019
2019-0034,4/21/2019,CONDUCTOR,MASCULINO,,4/21/2019
2019-0035,4/23/2019,PEATON,FEMENINO,75.0,4/23/2019
2019-0036,4/26/2019,CONDUCTOR,MASCULINO,34.0,5/2/2019
2019-0037,5/1/2019,CONDUCTOR,MASCULINO,17.0,5/1/2019
2019-0038,5/4/2019,PEATON,FEMENINO,42.0,5/5/2019
2019-0105,5/5/2019,PEATON,FEMENINO,82.0,5/8/2019
2019-0039,5/9/2019,CONDUCTOR,MASCULINO,28.0,5/9/2019
2019-0040,5/9/2019,CONDUCTOR,MASCULINO,44.0,5/15/2019
2019-0041,5/11/2019,PASAJERO,FEMENINO,78.0,5/11/2019
2019-0042,5/14/2019,PEATON,MASCULINO,39.0,5/14/2019
2019-0043,5/21/2019,CICLISTA,FEMENINO,,5/21/2019
2019-0044,5/27/2019,PEATON,FEMENINO,77.0,5/29/2019
2019-0045,6/3/2019,CONDUCTOR,MASCULINO,33.0,6/3/2019
2019-0046,6/4/2019,PASAJERO,FEMENINO,26.0,6/4/2019
2019-0047,6/6/2019,PEATON,MASCULINO,76.0,6/6/2019
2019-0048,6/7/2019,CONDUCTOR,MASCULINO,32.0,6/7/2019
2019-0049,6/8/2019,PEATON,FEMENINO,72.0,6/9/2019
2019-0050,6/8/2019,CONDUCTOR,MASCULINO,21.0,6/9/2019
2019-0051,6/11/2019,CONDUCTOR,MASCULINO,41.0,6/11/2019
2019-0053,6/14/2019,PASAJERO,MASCULINO,49.0,6/14/2019
2019-0054,6/20/2019,CONDUCTOR,MASCULINO,21.0,6/20/2019
2019-0055,6/20/2019,CONDUCTOR,MASCULINO,47.0,6/21/2019
2019-0056,6/29/2019,PEATON,FEMENINO,75.0,6/29/2019
2019-0057,7/5/2019,PEATON,FEMENINO,63.0,7/8/2019
2019-0058,7/10/2019,CONDUCTOR,MASCULINO,39.0,7/10/2019
2019-0059,7/13/2019,CONDUCTOR,MASCULINO,30.0,7/13/2019
2019-0060,7/17/2019,PEATON,FEMENINO,78.0,7/17/2019
2019-0061,7/17/2019,PEATON,FEMENINO,58.0,7/17/2019
2019-0062,8/1/2019,PEATON,FEMENINO,60.0,8/2/2019
2019-0063,8/4/2019,PASAJERO,MASCULINO,,8/4/2019
2019-0064,8/6/2019,CONDUCTOR,MASCULINO,20.0,8/6/2019
2019-0065,8/8/2019,PEATON,FEMENINO,55.0,8/9/2019
2019-0066,8/11/2019,PEATON,MASCULINO,40.0,8/11/2019
2019-0067,8/14/2019,CONDUCTOR,MASCULINO,35.0,8/14/2019
2019-0068,8/14/2019,CONDUCTOR,MASCULINO,53.0,8/14/2019
2019-0069,8/17/2019,CONDUCTOR,MASCULINO,43.0,8/17/2019
2019-0070,8/22/2019,CONDUCTOR,MASCULINO,25.0,8/22/2019
2019-0071,8/27/2019,PEATON,MASCULINO,,8/27/2019
2019-0072,8/28/2019,CONDUCTOR,MASCULINO,22.0,9/2/2019
2019-0073,8/29/2019,CONDUCTOR,MASCULINO,29.0,9/6/2019
2019-0074,8/29/2019,CONDUCTOR,MASCULINO,35.0,8/29/2019
2019-0075,8/30/2019,CONDUCTOR,MASCULINO,31.0,8/30/2019
2019-0076,9/5/2019,CONDUCTOR,FEMENINO,29.0,9/5/2019
2019-0077,9/8/2019,PEATON,FEMENINO,28.0,9/8/2019
2019-0078,9/12/2019,PEATON,FEMENINO,72.0,9/15/2019
2019-0079,9/17/2019,CONDUCTOR,MASCULINO,57.0,9/17/2019
2019-0080,9/17/2019,PEATON,MASCULINO,76.0,9/17/2019
2019-0081,9/23/2019,PEATON,MASCULINO,67.0,10/7/2019
2019-0082,9/25/2019,CICLISTA,MASCULINO,47.0,9/25/2019
2019-0083,9/26/2019,CONDUCTOR,MASCULINO,73.0,9/26/2019
2019-0084,9/27/2019,CICLISTA,FEMENINO,40.0,9/27/2019
2019-0085,10/9/2019,CICLISTA,MASCULINO,20.0,10/9/2019
2019-0086,10/15/2019,CONDUCTOR,MASCULINO,29.0,10/15/2019
2019-0087,10/21/2019,CONDUCTOR,MASCULINO,41.0,10/21/2019
2019-0088,10/22/2019,PEATON,MASCULINO,27.0,10/22/2019
2019-0089,10/23/2019,PEATON,FEMENINO,92.0,10/23/2019
2019-0090,10/24/2019,PEATON,MASCULINO,67.0,10/26/2019
2019-0091,11/1/2019,PEATON,MASCULINO,35.0,11/1/2019
2019-0092,11/3/2019,PEATON,MASCULINO,37.0,11/3/2019
2019-0093,11/13/2019,CICLISTA,MASCULINO,16.0,11/13/2019
2019-0094,11/18/2019,PASAJERO,FEMENINO,,11/18/2019
2019-0095,11/20/2019,CONDUCTOR,MASCULINO,,11/20/2019
2019-0096,11/22/2019,PEATON,MASCULINO,73.0,11/22/2019
2019-0097,11/25/2019,PASAJERO,FEMENINO,23.0,11/25/2019
2019-0098,11/25/2019,PASAJERO,FEMENINO,61.0,11/29/2019
2019-0100,12/5/2019,CONDUCTOR,MASCULINO,38.0,12/18/2019
2019-0101,12/17/2019,CONDUCTOR,MASCULINO,25.0,12/17/2019
2019-0102,12/17/2019,CONDUCTOR,MASCULINO,18.0,12/18/2019
2019-0103,12/18/2019,CONDUCTOR,MASCULINO,24.0,12/18/2019
2019-0104,12/21/2019,PASAJERO,FEMENINO,23.0,12/22/2019
2020-0001,1/4/2020,PEATON,FEMENINO,87.0,1/4/2020
2020-0002,1/5/2020,CONDUCTOR,MASCULINO,36.0,1/7/2020
2020-0003,1/11/2020,PEATON,MASCULINO,44.0,1/11/2020
2020-0004,1/14/2020,PEATON,MASCULINO,82.0,1/15/2020
2020-0005,1/14/2020,CONDUCTOR,MASCULINO,25.0,2/10/2020
2020-0006,1/20/2020,CONDUCTOR,MASCULINO,23.0,1/20/2020
2020-0007,1/27/2020,PEATON,MASCULINO,52.0,1/27/2020
2020-0008,1/30/2020,CONDUCTOR,MASCULINO,49.0,1/30/2020
2020-0009,2/4/2020,PEATON,MASCULINO,48.0,2/5/2020
2020-0010,2/8/2020,CONDUCTOR,MASCULINO,,2/8/2020
2020-0011,2/12/2020,CONDUCTOR,MASCULINO,31.0,2/12/2020
2020-0012,2/18/2020,PEATON,FEMENINO,66.0,2/18/2020
2020-0013,2/20/2020,PEATON,FEMENINO,58.0,3/3/2020
2020-0014,2/27/2020,CONDUCTOR,MASCULINO,,2/27/2020
2020-0015,2/28/2020,CONDUCTOR,MASCULINO,29.0,2/28/2020
2020-0016,2/29/2020,PEATON,MASCULINO,68.0,3/9/2020
2020-0017,3/5/2020,PEATON,MASCULINO,,3/5/2020
2020-0018,3/9/2020,CONDUCTOR,MASCULINO,31.0,3/9/2020
2020-0019,3/10/2020,PEATON,FEMENINO,80.0,3/10/2020
2020-0020,3/13/2020,PEATON,FEMENINO,74.0,3/17/2020
2020-0021,3/14/2020,PEATON,FEMENINO,87.0,3/14/2020
2020-0022,4/7/2020,PASAJERO,MASCULINO,44.0,4/7/2020
2020-0023,4/9/2020,CONDUCTOR,MASCULINO,44.0,5/3/2020
2020-0024,4/24/2020,CONDUCTOR,MASCULINO,53.0,4/24/2020
2020-0025,5/12/2020,PEATON,MASCULINO,,5/12/2020
2020-0026,5/17/2020,CONDUCTOR,MASCULINO,28.0,5/17/2020
2020-0027,5/18/2020,PEATON,MASCULINO,76.0,5/18/2020
2020-0028,5/19/2020,PEATON,MASCULINO,91.0,5/23/2020
2020-0029,6/10/2020,PEATON,MASCULINO,80.0,6/12/2020
2020-0030,6/16/2020,CONDUCTOR,MASCULINO,40.0,6/16/2020
2020-0031,6/30/2020,CONDUCTOR,MASCULINO,29.0,6/30/2020
2020-0032,7/10/2020,CONDUCTOR,MASCULINO,21.0,7/10/2020
2020-0033,7/19/2020,CONDUCTOR,MASCULINO,32.0,7/19/2020
2020-0034,8/2/2020,PEATON,FEMENINO,,8/2/2020
2020-0035,8/4/2020,CONDUCTOR,MASCULINO,40.0,8/4/2020
2020-0036,8/7/2020,PEATON,MASCULINO,72.0,8/22/2020
2020-0037,8/29/2020,PEATON,MASCULINO,38.0,8/29/2020
2020-0038,8/30/2020,CONDUCTOR,MASCULINO,46.0,8/30/2020
2020-0038,8/30/2020,CONDUCTOR,MASCULINO,64.0,8/30/2020
2020-0039,9/1/2020,PEATON,MASCULINO,44.0,9/1/2020
2020-0040,9/12/2020,CONDUCTOR,MASCULINO,,9/12/2020
2020-0041,9/28/2020,CONDUCTOR,MASCULINO,34.0,9/28/2020
2020-0042,9/29/2020,PEATON,FEMENINO,53.0,9/29/2020
2020-0043,9/30/2020,PEATON,MASCULINO,64.0,9/30/2020
2020-0044,10/5/2020,CONDUCTOR,MASCULINO,43.0,10/5/2020
2020-0045,10/19/2020,CONDUCTOR,MASCULINO,50.0,10/19/2020
2020-0046,10/27/2020,CONDUCTOR,MASCULINO,41.0,10/27/2020
2020-0047,10/27/2020,PEATON,MASCULINO,15.0,10/27/2020
2020-0048,10/29/2020,CONDUCTOR,MASCULINO,41.0,10/29/2020
2020-0049,10/30/2020,PEATON,MASCULINO,36.0,10/30/2020
2020-0050,11/1/2020,PEATON,FEMENINO,28.0,11/1/2020
2020-0051,11/5/2020,CONDUCTOR,MASCULINO,49.0,11/5/2020
2020-0052,11/7/2020,CICLISTA,MASCULINO,44.0,11/7/2020
2020-0053,11/9/2020,PASAJERO,MASCULINO,27.0,11/9/2020
2020-0054,11/19/2020,CICLISTA,MASCULINO,59.0,11/23/2020
2020-0055,11/19/2020,PEATON,MASCULINO,91.0,12/11/2020
2020-0056,11/21/2020,CONDUCTOR,FEMENINO,34.0,11/21/2020
2020-0057,11/23/2020,PEATON,MASCULINO,84.0,11/23/2020
2020-0058,11/24/2020,PEATON,MASCULINO,57.0,11/25/2020
2020-0059,12/1/2020,PEATON,FEMENINO,49.0,12/14/2020
2020-0060,12/3/2020,PEATON,FEMENINO,69.0,12/3/2020
2020-0061,12/3/2020,CONDUCTOR,MASCULINO,45.0,12/4/2020
2020-0062,12/4/2020,CICLISTA,MASCULINO,47.0,12/4/2020
2020-0063,12/5/2020,PEATON,MASCULINO,38.0,12/5/2020
2020-0063,12/5/2020,PASAJERO,MASCULINO,21.0,12/5/2020
2020-0065,12/5/2020,CONDUCTOR,MASCULINO,24.0,12/6/2020
2020-0066,12/7/2020,CONDUCTOR,MASCULINO,27.0,12/7/2020
2020-0067,12/11/2020,PEATON,MASCULINO,51.0,12/11/2020
2020-0068,12/12/2020,CONDUCTOR,MASCULINO,71.0,12/20/2020
2020-0069,12/15/2020,PASAJERO,MASCULINO,25.0,12/15/2020
2020-0070,12/17/2020,PEATON,FEMENINO,81.0,12/22/2020
2020-0071,12/17/2020,PEATON,MASCULINO,4.0,12/17/2020
2020-0072,12/19/2020,CICLISTA,MASCULINO,42.0,12/19/2020
2020-0073,12/20/2020,CONDUCTOR,MASCULINO,56.0,12/20/2020
2020-0074,12/20/2020,CONDUCTOR,MASCULINO,39.0,12/20/2020
2020-0075,12/23/2020,PEATON,MASCULINO,23.0,12/23/2020
2020-0076,12/24/2020,CONDUCTOR,FEMENINO,78.0,1/17/2021
2020-0077,12/25/2020,CONDUCTOR,FEMENINO,30.0,12/25/2020
2020-0077,12/25/2020,PASAJERO,FEMENINO,24.0,12/25/2020
2020-0078,12/25/2020,CICLISTA,MASCULINO,26.0,12/25/2020
2020-0079,12/27/2020,CONDUCTOR,MASCULINO,28.0,12/27/2020
2021-0001,1/6/2021,CONDUCTOR,MASCULINO,36.0,1/6/2021
2021-0002,1/7/2021,CONDUCTOR,FEMENINO,47.0,1/7/2021
2021-0003,1/10/2021,CONDUCTOR,MASCULINO,27.0,1/10/2021
2021-0004,1/11/2021,PEATON,FEMENINO,61.0,1/11/2021
2021-0005,1/11/2021,PEATON,MASCULINO,73.0,1/14/2021
2021-0006,1/12/2021,PASAJERO,FEMENINO,23.0,1/12/2021
2021-0007,1/18/2021,CONDUCTOR,MASCULINO,84.0,1/26/2021
2021-0008,1/22/2021,PEATON,MASCULINO,28.0,1/22/2021
2021-0009,1/23/2021,CONDUCTOR,MASCULINO,31.0,1/23/2021
2021-0010,1/23/2021,CONDUCTOR,MASCULINO,28.0,1/23/2021
2021-0011,1/27/2021,PEATON,MASCULINO,21.0,1/27/2021
2021-0012,1/29/2021,PEATON,MASCULINO,,1/29/2021
2021-0013,1/31/2021,CONDUCTOR,MASCULINO,41.0,1/31/2021
2021-0014,2/2/2021,PEATON,MASCULINO,28.0,2/18/2021
2021-0015,2/6/2021,CONDUCTOR,MASCULINO,26.0,2/6/2021
2021-0016,2/14/2021,CONDUCTOR,MASCULINO,22.0,2/14/2021
2021-0017,2/17/2021,CONDUCTOR,MASCULINO,33.0,2/17/2021
2021-0018,2/20/2021,PEATON,MASCULINO,36.0,3/8/2021
2021-0019,2/21/2021,CONDUCTOR,MASCULINO,30.0,2/21/2021
2021-0020,2/21/2021,PEATON,FEMENINO,,2/21/2021
2021-0021,2/26/2021,CONDUCTOR,MASCULINO,39.0,3/4/2021
2021-0022,2/28/2021,PASAJERO,MASCULINO,68.0,3/6/2021
2021-0023,3/1/2021,CONDUCTOR,MASCULINO,24.0,3/1/2021
2021-0024,3/3/2021,CICLISTA,MASCULINO,5.0,3/3/2021
2021-0025,3/11/2021,CONDUCTOR,MASCULINO,37.0,3/11/2021
2021-0026,3/15/2021,CONDUCTOR,MASCULINO,36.0,3/15/2021
2021-0027,3/16/2021,CONDUCTOR,FEMENINO,19.0,3/16/2021
2021-0028,3/29/2021,PEATON,MASCULINO,,3/29/2021
2021-0029,3/31/2021,CONDUCTOR,MASCULINO,26.0,4/2/2021
2021-0030,4/3/2021,PEATON,MASCULINO,36.0,4/7/2021
2021-0031,4/7/2021,PEATON,FEMENINO,68.0,4/11/2021
2021-0032,4/10/2021,PEATON,MASCULINO,60.0,4/29/2021
2021-0033,4/14/2021,CONDUCTOR,MASCULINO,33.0,4/14/2021
2021-0034,4/19/2021,PASAJERO,FEMENINO,26.0,4/19/2021
2021-0035,5/3/2021,CONDUCTOR,MASCULINO,24.0,5/3/2021
2021-0036,5/9/2021,CONDUCTOR,MASCULINO,36.0,5/9/2021
2021-0037,5/11/2021,PEATON,FEMENINO,58.0,5/11/2021
2021-0038,5/14/2021,CONDUCTOR,FEMENINO,44.0,5/14/2021
2021-0039,5/15/2021,CICLISTA,MASCULINO,86.0,6/5/2021
2021-0040,5/20/2021,CONDUCTOR,MASCULINO,27.0,5/20/2021
2021-0041,5/20/2021,PEATON,MASCULINO,75.0,5/20/2021
2021-0042,5/21/2021,PEATON,MASCULINO,39.0,5/21/2021
2021-0043,5/22/2021,PEATON,MASCULINO,50.0,5/22/2021
2021-0044,5/25/2021,PASAJERO,MASCULINO,21.0,5/25/2021
2021-0045,5/26/2021,CONDUCTOR,MASCULINO,22.0,5/26/2021
2021-0046,5/31/2021,PASAJERO,MASCULINO,20.0,5/31/2021
2021-0047,6/2/2021,CONDUCTOR,MASCULINO,59.0,6/2/2021
2021-0048,6/3/2021,CICLISTA,MASCULINO,44.0,6/23/2021
2021-0049,6/3/2021,CONDUCTOR,MASCULINO,74.0,6/3/2021
2021-0050,6/10/2021,CONDUCTOR,MASCULINO,56.0,6/10/2021
2021-0051,6/15/2021,PEATON,MASCULINO,73.0,6/16/2021
