ID_hecho,FECHA,ROL,SEXO,EDAD,FECHA_FALLECIMIENTO,gen_bin,AAAA,MES,AÑO_FALLECIMIENTO,MES_FALLECIMIENTO
2017-0036,2017-03-29,PASAJERO,FEMENINO,,2017-03-29,1.0,2017,3,2017.0,3.0
2017-0036,2017-03-29,CONDUCTOR,MASCULINO,20.0,2017-03-29,0.0,2017,3,2017.0,3.0
2017-0037,2017-03-31,CONDUCTOR,MASCULINO,41.0,2017-03-31,0.0,2017,3,2017.0,3.0
2017-0038,2017-04-01,CONDUCTOR,FEMENINO,40.0,2017-04-01,1.0,2017,4,2017.0,4.0
2017-0040,2017-04-03,CONDUCTOR,MASCULINO,43.0,2017-04-03,0.0,2017,4,2017.0,4.0
2017-0041,2017-04-03,CONDUCTOR,MASCULINO,17.0,,0.0,2017,4,,
2017-0042,2017-04-10,CONDUCTOR,MASCULINO,,2017-04-10,0.0,2017,4,2017.0,4.0
2017-0045,2017-04-14,CONDUCTOR,MASCULINO,21.0,2017-04-14,0.0,2017,4,2017.0,4.0
2017-0047,2017-04-23,CONDUCTOR,MASCULINO,37.0,2017-04-23,0.0,2017,4,2017.0,4.0
2017-0049,2017-04-27,PEATON,MASCULINO,22.0,2017-04-27,0.0,2017,4,2017.0,4.0
2017-0050,2017-04-28,CONDUCTOR,MASCULINO,46.0,2017-04-28,0.0,2017,4,2017.0,4.0
2017-0050,2017-04-28,PASAJERO,MASCULINO,16.0,2017-04-28,0.0,2017,4,2017.0,4.0
2017-0051,2017-05-01,CONDUCTOR,MASCULINO,33.0,2017-05-01,0.0,2017,5,2017.0,5.0
2017-0052,2017-05-05,PEATON,FEMENINO,47.0,2017-05-05,1.0,2017,5,2017.0,5.0
2017-0053,2017-05-05,CONDUCTOR,MASCULINO,28.0,2017-05-05,0.0,2017,5,2017.0,5.0
2017-0054,2017-05-07,PASAJERO,FEMENINO,20.0,2017-05-07,1.0,2017,5,2017.0,5.0
2017-0055,2017-05-09,CONDUCTOR,MASCULINO,32.0,2017-05-09,0.0,2017,5,2017.0,5.0
2017-0058,2017-05-09,PEATON,MASCULINO,80.0,2017-05-09,0.0,2017,5,2017.0,5.0
2017-0059,2017-05-11,PEATON,FEMENINO,39.0,2017-05-11,1.0,2017,5,2017.0,5.0
2017-0060,2017-05-13,PASAJERO,MASCULINO,30.0,2017-05-13,0.0,2017,5,2017.0,5.0
2017-0061,2017-05-15,PEATON,MASCULINO,47.0,2017-05-16,0.0,2017,5,2017.0,5.0
2017-0062,2017-05-15,CONDUCTOR,MASCULINO,35.0,2017-05-15,0.0,2017,5,2017.0,5.0
2017-0063,2017-05-17,PEATON,FEMENINO,79.0,2017-05-17,1.0,2017,5,2017.0,5.0
2017-0064,2017-05-20,PASAJERO,MASCULINO,61.0,2017-05-20,0.0,2017,5,2017.0,5.0
2017-0065,2017-05-22,CICLISTA,MASCULINO,21.0,2017-05-22,0.0,2017,5,2017.0,5.0
2017-0066,2017-05-22,PEATON,MASCULINO,10.0,2017-05-22,0.0,2017,5,2017.0,5.0
2017-0067,2017-05-23,CONDUCTOR,MASCULINO,21.0,2017-05-23,0.0,2017,5,2017.0,5.0
2017-0068,2017-05-27,CONDUCTOR,MASCULINO,32.0,2017-05-27,0.0,2017,5,2017.0,5.0
2017-0069,2017-05-29,CONDUCTOR,MASCULINO,39.0,2017-05-29,0.0,2017,5,2017.0,5.0
2017-0070,2017-05-30,PEATON,MASCULINO,80.0,2017-05-31,0.0,2017,5,2017.0,5.0
2017-0072,2017-06-03,CONDUCTOR,MASCULINO,25.0,2017-06-03,0.0,2017,6,2017.0,6.0
2017-0073,2017-06-04,CONDUCTOR,MASCULINO,19.0,2017-06-04,0.0,2017,6,2017.0,6.0
2017-0074,2017-06-04,SD,MASCULINO,70.0,2017-06-04,0.0,2017,6,2017.0,6.0
2017-0075,2017-06-12,PEATON,MASCULINO,55.0,2017-06-12,0.0,2017,6,2017.0,6.0
2017-0076,2017-06-13,PEATON,FEMENINO,30.0,2017-06-13,1.0,2017,6,2017.0,6.0
2017-0077,2017-06-17,CONDUCTOR,FEMENINO,60.0,2017-06-18,1.0,2017,6,2017.0,6.0
2017-0079,2017-06-19,CONDUCTOR,MASCULINO,33.0,2017-06-19,0.0,2017,6,2017.0,6.0
2017-0080,2017-06-22,PEATON,FEMENINO,95.0,2017-06-22,1.0,2017,6,2017.0,6.0
2017-0082,2017-06-25,PEATON,MASCULINO,36.0,2017-06-25,0.0,2017,6,2017.0,6.0
2017-0083,2017-07-04,CONDUCTOR,MASCULINO,37.0,2017-07-04,0.0,2017,7,2017.0,7.0
2017-0084,2017-07-05,PEATON,FEMENINO,73.0,2017-07-05,1.0,2017,7,2017.0,7.0
2017-0085,2017-07-07,PEATON,MASCULINO,84.0,2017-07-07,0.0,2017,7,2017.0,7.0
2017-0086,2017-07-09,PEATON,FEMENINO,30.0,2017-07-09,1.0,2017,7,2017.0,7.0
2017-0087,2017-07-10,PEATON,FEMENINO,73.0,2017-07-10,1.0,2017,7,2017.0,7.0
2017-0088,2017-07-10,PEATON,MASCULINO,43.0,2017-07-10,0.0,2017,7,2017.0,7.0
2017-0089,2017-07-13,SD,MASCULINO,23.0,,0.0,2017,7,,
2017-0090,2017-07-15,PEATON,MASCULINO,22.0,2017-07-15,0.0,2017,7,2017.0,7.0
2017-0091,2017-07-15,CONDUCTOR,MASCULINO,58.0,2017-07-15,0.0,2017,7,2017.0,7.0
2017-0092,2017-07-24,PEATON,MASCULINO,66.0,2017-07-24,0.0,2017,7,2017.0,7.0
2017-0093,2017-07-25,PEATON,MASCULINO,,2017-07-25,0.0,2017,7,2017.0,7.0
2017-0094,2017-07-27,CICLISTA,FEMENINO,56.0,2017-07-27,1.0,2017,7,2017.0,7.0
2017-0095,2017-08-06,CONDUCTOR,MASCULINO,36.0,2017-08-06,0.0,2017,8,2017.0,8.0
2017-0096,2017-08-07,PEATON,MASCULINO,87.0,2017-08-07,0.0,2017,8,2017.0,8.0
2017-0098,2017-08-08,PEATON,FEMENINO,61.0,2017-08-08,1.0,2017,8,2017.0,8.0
2017-0099,2017-08-17,CICLISTA,MASCULINO,28.0,2017-08-17,0.0,2017,8,2017.0,8.0
2017-0100,2017-08-21,PASAJERO,FEMENINO,16.0,2017-08-21,1.0,2017,8,2017.0,8.0
2017-0101,2017-08-23,PEATON,FEMENINO,61.0,2017-08-23,1.0,2017,8,2017.0,8.0
2017-0102,2017-08-24,PEATON,MASCULINO,46.0,2017-08-24,0.0,2017,8,2017.0,8.0
2017-0104,2017-08-25,PEATON,FEMENINO,18.0,2017-08-25,1.0,2017,8,2017.0,8.0
2017-0106,2017-08-31,PEATON,FEMENINO,85.0,2017-08-31,1.0,2017,8,2017.0,8.0
2017-0107,2017-09-01,CONDUCTOR,MASCULINO,41.0,2017-09-01,0.0,2017,9,2017.0,9.0
2017-0108,2017-09-02,PASAJERO,MASCULINO,17.0,2017-09-02,0.0,2017,9,2017.0,9.0
2017-0108,2017-09-02,PASAJERO,MASCULINO,10.0,2017-09-02,0.0,2017,9,2017.0,9.0
2017-0109,2017-09-04,CONDUCTOR,MASCULINO,21.0,2017-09-05,0.0,2017,9,2017.0,9.0
2017-0110,2017-09-06,PEATON,MASCULINO,56.0,2017-09-07,0.0,2017,9,2017.0,9.0
2017-0111,2017-09-07,PEATON,FEMENINO,79.0,2017-09-07,1.0,2017,9,2017.0,9.0
2017-0112,2017-09-10,PASAJERO,MASCULINO,1.0,,0.0,2017,9,,
2017-0112,2017-09-10,PASAJERO,MASCULINO,,2017-09-13,0.0,2017,9,2017.0,9.0
2017-0113,2017-09-11,PEATON,FEMENINO,76.0,2017-09-11,1.0,2017,9,2017.0,9.0
2017-0114,2017-09-15,CONDUCTOR,MASCULINO,26.0,2017-09-15,0.0,2017,9,2017.0,9.0
2017-0115,2017-09-19,CONDUCTOR,MASCULINO,34.0,,0.0,2017,9,,
2017-0116,2017-09-20,CONDUCTOR,MASCULINO,22.0,2017-09-20,0.0,2017,9,2017.0,9.0
2017-0118,2017-09-22,PASAJERO,FEMENINO,26.0,2017-09-29,1.0,2017,9,2017.0,9.0
2017-0120,2017-10-02,CONDUCTOR,MASCULINO,20.0,2017-10-02,0.0,2017,10,2017.0,10.0
2017-0123,2017-10-10,PEATON,FEMENINO,36.0,2017-10-10,1.0,2017,10,2017.0,10.0
2017-0124,2017-10-12,CONDUCTOR,MASCULINO,51.0,2017-10-12,0.0,2017,10,2017.0,10.0
2017-0125,2017-10-13,CONDUCTOR,MASCULINO,29.0,2017-10-13,0.0,2017,10,2017.0,10.0
2017-0126,2017-10-14,PASAJERO,MASCULINO,39.0,,0.0,2017,10,,
2017-0126,2017-10-14,CONDUCTOR,MASCULINO,36.0,2017-10-14,0.0,2017,10,2017.0,10.0
2017-0127,2017-10-16,PASAJERO,MASCULINO,24.0,2017-10-16,0.0,2017,10,2017.0,10.0
2017-0128,2017-10-17,PEATON,FEMENINO,60.0,2017-10-17,1.0,2017,10,2017.0,10.0
2017-0129,2017-10-26,CONDUCTOR,MASCULINO,57.0,2017-10-26,0.0,2017,10,2017.0,10.0
2017-0130,2017-10-27,CONDUCTOR,MASCULINO,23.0,2017-10-27,0.0,2017,10,2017.0,10.0
